fecha;temp_max;temp_max_hora;temp_min;temp_min_hora;temp_media;viento_max;viento_max_hora
01/08/2018;37;15;22,9;7;29,9;12;2
02/08/2018;38,4;16;24,2;8;31,3;12;8
03/08/2018;39,9;16;25,9;8;32,9;15;18
04/08/2018;40;18;20,3;7;30,1;18;3
05/08/2018;37,3;16;24,1;7;30,7;15;1
06/08/2018;37;17;24;8;30,5;21;19
07/08/2018;36,7;16;24,7;5;30,7;19;19
08/08/2018;36,7;16;24,7;5;30,7;19;19
09/08/2018;31,5;15;19,2;7;25,4;21;23
10/08/2018;31,3;15;17,1;7;24,2;25;0
11/08/2018;34;16;22;7;28;15;0
12/08/2018;35;15;23;8;29;17;18
13/08/2018;33,5;16;21,2;8;27,4;12;14
14/08/2018;33;15;19,2;7;26,1;19;6
15/08/2018;33,8;16;19,6;8;26,7;17;1
16/08/2018;32,3;16;22,8;8;27,5;13;19
17/08/2018;32;16;19,4;8;25,7;21;21
18/08/2018;30,4;17;16,8;7;23,6;22;3
19/08/2018;31,5;16;19,8;6;25,6;14;0
20/08/2018;32,7;16;20,6;8;26,7;11;18
21/08/2018;34,4;15;21;7;27,7;12;18
22/08/2018;32,8;16;21,7;8;27,3;18;18
23/08/2018;33,8;16;20,2;7;27;15;23
24/08/2018;33,5;16;20,4;7;26,9;15;23
25/08/2018;32,8;16;18,8;8;25,8;15;23
26/08/2018;31,4;16;17,4;8;24,4;14;3
27/08/2018;35;16;20,2;8;27,6;13;9
28/08/2018;33,8;15;22,3;8;28;18;17
29/08/2018;31,8;16;19,8;7;25,8;14;23
