name;number;longitude;latitude;address;id;distrito;cod_postal
Puerta del Sol A;1a;-3.7024255;40.4168961;Puerta del Sol nº 1;1;01  CENTRO;28014
Puerta del Sol B;1b;-3.7024207;40.4170009;Puerta del Sol nº 1;2;01  CENTRO;28014
Miguel Moya;2;-3.7058415;40.4205886;Calle Miguel Moya nº 1;3;01  CENTRO;28004
Plaza Conde Suchil;3;-3.7069171;40.4302937;Plaza del Conde Suchil nº 2-4;4;07  CHAMBERÍ;28015
Malasaña;4;-3.7025875;40.4285524;Calle Manuela Malasaña nº 5;5;01  CENTRO;28004
Fuencarral;5;-3.7020599;40.4285280;Calle Fuencarral nº 108;6;01  CENTRO;28004
Colegio Arquitectos;6;-3.6984470;40.4241480;Calle Hortaleza nº 63;7;01  CENTRO;28004
Hortaleza;7;-3.6977715;40.4251906;Calle Hortaleza nº 75;8;01  CENTRO;28004
Alonso Martínez;8;-3.6954403;40.4278682;Plaza de Alonso Martínez nº 5;9;07  CHAMBERÍ;28004
Plaza de San Miguel;9;-3.7095084;40.4156057;Plaza de San Miguel nº 9;10;01  CENTRO;28005
Marqués de la Ensenada;10;-3.6918807;40.4250863;Calle Marqués de la Ensenada nº 16;11;01  CENTRO;28004
San Andrés;11;-3.7035918;40.4269483;Calle San Andrés nº 18;12;01  CENTRO;28004
San Hermenegildo;12;-3.7061931;40.4284246;Calle San Bernardo nº 85;13;01  CENTRO;28015
Conde Duque;13;-3.7104417;40.4273264;Calle Conde Duque nº 22;14;01  CENTRO;28015
Ventura Rodríguez;14;-3.7134790;40.4260957;Calle Ventura Rodríguez nº 2;15;09  MONCLOA;28008
San Vicente Ferrer;15;-3.7073764;40.4261649;Calle San Vicente Ferrer nº 64;16;01  CENTRO;28015
San Bernardo;16;-3.7075065;40.4230721;Calle San Bernardo nº 22;17;01  CENTRO;28015
Carlos Cambronero;17;-3.7038312;40.4232649;Plaza de Carlos Cambronero nº 2;18;01  CENTRO;28004
Plaza de Pedro Zerolo;18;-3.6996502;40.4207773;Plaza de Pedro Zerolo;19;01  CENTRO;28004
Prim;19;-3.6954983;40.4218616;Calle Prim nº 2;20;01  CENTRO;28004
Banco de España A;20a;-3.6954615;40.4192342;Calle Alcalá nº 49;21;01  CENTRO;28014
Red de San Luis A;21a;-3.7014814;40.4197872;Calle Montera nº 48;23;01  CENTRO;28013
Red de San Luis B;21b;-3.7015235;40.4197204;Calle Montera nº 47;24;01  CENTRO;28013
Jacometrezo;22;-3.7065376;40.4200783;Calle Jacometrezo nº 3;25;01  CENTRO;28013
Santo Domingo;23;-3.7080733;40.4197429;Plaza de Santo Domingo nº 1;26;01  CENTRO;28013
Palacio de Oriente;24;-3.7103538;40.4182146;Calle Carlos III nº 1;27;01  CENTRO;28013
Plaza de Celenque A;25a;-3.7064809;40.4173114;Plaza de Celenque nº 1;28;01  CENTRO;28013
Plaza de Celenque B;25b;-3.7063837;40.4172781;Plaza de Celenque nº 1;29;01  CENTRO;28013
Plaza de las Salesas;26;-3.694475;40.423855;Plaza de las Salesas 7;30;01  CENTRO;28004
Huertas;27;-3.6956178;40.4132798;Calle Jesús nº 1;31;01  CENTRO;28014
Sevilla;28;-3.6992600;40.4181663;Calle Alcalá nº 27;32;01  CENTRO;28014
Marqués de Cubas;29;-3.6957355;40.4162619;Calle del Marqués de Cubas nº 25;33;01  CENTRO;28014
San Quintín;30;-3.7115040;40.4192095;Calle Pavía nº 6;34;01  CENTRO;28013
Calle Mayor;31;-3.7068969;40.4163638;Calle Mayor nº 20;35;01  CENTRO;28013
Plaza de la Provincia;32;-3.7061032;40.4150099;Plaza de la Provincia nº 1;36;01  CENTRO;28012
Carretas;33;-3.7031808;40.4157138;Calle Carretas nº 8;37;01  CENTRO;28012
Jacinto Benavente;34;-3.7036825;40.4146755;Plaza de Jacinto Benavente;38;01  CENTRO;28012
Plaza del Cordón;35;-3.7103285;40.4141931;Plaza del Cordón nº 1;39;01  CENTRO;28005
Plaza de Ramales;36;-3.7124038;40.4167281;Plaza de Ramales nº 1;40;01  CENTRO;28013
Plaza San Francisco;37;-3.7144964;40.4108442;Plaza de San Francisco nº 5;41;01  CENTRO;28005
Plaza de los Carros;38;-3.7120734;40.4110406;Carrera de San Francisco nº 1;42;01  CENTRO;28005
Plaza de la Cebada;39;-3.7088337;40.4112744;Plaza de la Cebada nº 16 ;43;01  CENTRO;28005
Conde de Romanones;40;-3.7049407;40.4138846;Plaza del Conde de Romanones nº 9;44;01  CENTRO;28012
Antón Martín;41;-3.6991147;40.4122047;Calle Atocha nº 54;45;01  CENTRO;28012
Santa Isabel;42;-3.6982318;40.4107085;Calle Atocha nº 32;46;01  CENTRO;28012
Jesús y María;43;-3.7025024;40.4101564;Calle Lavapiés nº 34-36;47;01  CENTRO;28012
Plaza de Nelson Mandela;44;-3.7040666;40.4097617;Calle Mesón de Paredes nº 35;48;01  CENTRO;28012
Puerta de Toledo;45;-3.7110513;40.4070358;Glorieta de la Puerta de Toledo nº 1;49;01  CENTRO;28005
Ribera de Curtidores;46;-3.7071259;40.4053153;Calle Ribera de Curtidores nº 28;50;02  ARGANZUELA;28005
Embajadores 1;47;-3.7028265;40.4047851;Glorieta de Embajadores nº 6;51;02  ARGANZUELA;28012
Embajadores 2;48;-3.7022591;40.4056107;Glorieta de Embajadores nº 2;52;01  CENTRO;28012
Casa Encendida;49;-3.6992759;40.4060941;Ronda de Atocha nº 34;53;01  CENTRO;28012
Museo Reina Sofía;50;-3.6933463;40.4083684;Calle Santa Isabel nº 57;54;01  CENTRO;28012
Ronda de Atocha;51;-3.6935205;40.4075606;Ronda de Atocha nº 2;55;01  CENTRO;28012
Plaza de Santa Ana;52;-3.7007164;40.4144226;Plaza de Santa Ana nº 10;56;01  CENTRO;28012
Plaza de Lavapiés;53;-3.7008803;40.4089282;Calle Valencia nº 1;57;01  CENTRO;28012
